id,name,category,description,sellPrice,hasDiscount,price_before_discount,buyPrice,stock
1,SOURIS OPTIQUE USB MACRO XMK-538,souris,Souris Optique USB XMK-538 - Couleur Noir - Interface USB,3.3,FALSE,3.3,2.5,1000
2,SOURIS FILAIRE GAMING SPIDER X3,souris,Souris Optique USB XMK-538 - Couleur Noir - Interface USB,5.5,FALSE,5.5,4.5,1000
3,SOURIS GAMING PRO RAMPAGE SMX-R44,souris,Souris Gaming Pro Rampage SMX-R44 - Couleur Bleu - Capteur 6651 - 7x Boutons  Programmables - Rétroéclairage RGB - Résolution réglable jusqu'à 6400 dpi - Poids 135g - Dimensions 124 x 68 x 40 mm - Câble 1.8m - Garantie 1 an,21,FALSE,21,18,1000
4,SOURIS GAMING T-DAGGER BRIGADIER T-TGM206,souris,Souris Gaming T-Dagger Brigadier T-TGM206 / 4000 fps - Résolution 1200/2400/3500/5500/7200  DPI - Rétroéclairage RGB - 7x Boutons programmables - Longueur du câble 1.8m  - Dimensions 123 x 72 x 33 mm - Garantie 1 an,29,FALSE,29,25,500

